year,capex_specific_conversion
2022,219.00074315846672
2023,221.70831924351268
2024,224.41589532855863
2025,227.1234714136046
2026,232.33725719600972
2027,237.5510429784148
2028,242.76482876081994
2029,247.97861454322504
2030,253.19240032563016
2031,253.19240032563016
2032,253.19240032563016
2033,253.19240032563016
2034,253.19240032563016
2035,253.19240032563016
2036,253.19240032563016
2037,253.19240032563016
2038,253.19240032563016
2039,253.19240032563016
2040,253.19240032563016
2041,253.19240032563016
2042,253.19240032563016
2043,253.19240032563016
2044,253.19240032563016
2045,253.19240032563016
2046,253.19240032563016
2047,253.19240032563016
2048,253.19240032563016
2049,253.19240032563016
2050,253.19240032563016
