node,year_construction,capacity_existing_energy
AT,2010,1.8048879205577395e-05
AT,2015,0.0007562480387136929
AT,2017,0.0029064353065801417
AT,2018,0.010000094854134403
AT,2019,0.009133302211894897
AT,2020,0.04237327379152777
AT,2021,0.02143885579572736
BE,2010,2.6600936312524217e-05
BE,2015,0.0011145792314947646
BE,2017,0.004283584570886756
BE,2018,0.01473841579325482
BE,2019,0.013460912874112198
BE,2020,0.06245090039348639
BE,2021,0.03159717737261515
BG,2021,0.0012383614943658687
CH,2010,1.716341212504377e-05
CH,2015,0.000719146968039334
CH,2017,0.002763847351042044
CH,2018,0.009509496258249655
CH,2019,0.008685227937969966
CH,2020,0.04029446664735664
CH,2021,0.02038707851719375
CZ,2021,0.002220718604275516
DE,2009,0.0091
DE,2012,0.0091
DE,2013,0.04464
DE,2014,0.08296
DE,2015,0.13433
DE,2016,0.32384
DE,2017,0.39904999999999996
DE,2018,0.49845999999999996
DE,2019,0.8249
DE,2020,1.125
DE,2021,1.548
DK,2006,9.60722303226748e-06
DK,2011,7.205417274200609e-06
DK,2021,0.009895439723235505
EL,2021,0.0111
ES,2005,0.0004983594468368286
ES,2012,0.001436936405046189
ES,2013,0.004825780643536624
ES,2016,0.003023380644143427
ES,2017,0.0009053529950869053
ES,2018,0.000830599078061381
ES,2019,0.0041529953903069045
ES,2020,0.009551889397705881
ES,2021,0.10006358660299422
FI,2006,2.351515943625515e-05
FI,2011,1.7636369577191362e-05
FI,2021,0.024220614219342813
FR,2009,0.0072
FR,2012,0.01098
FR,2013,0.00203
FR,2014,0.008029999999999999
FR,2015,0.006829999999999999
FR,2016,0.01568
FR,2017,0.013300000000000001
FR,2018,0.01
FR,2019,0.025
FR,2020,0.0208
FR,2021,0.236
HU,2021,0.001485207591373679
IE,2006,8.243650777859182e-06
IE,2011,6.182738083394386e-06
IE,2021,0.008490960301194958
IT,2011,0.001
IT,2012,0.0029599999999999995
IT,2013,0.0014100000000000002
IT,2014,0.042989999999999993
IT,2015,0.25771999999999995
IT,2016,0.031
IT,2017,0.0475
IT,2018,0.057
IT,2019,0.098
IT,2020,0.1
IT,2021,0.43460000000000004
LT,2006,3.7392694270731545e-06
LT,2011,2.8044520703048658e-06
LT,2021,0.00385144750988535
LU,2010,1.5683175063089195e-06
LU,2015,6.571250351434373e-05
LU,2017,0.00025254827850226873
LU,2018,0.0008689361619552711
LU,2019,0.0007936181292020847
LU,2020,0.0036819320651411054
LU,2021,0.001862882036978874
LV,2006,2.0935192302720467e-06
LV,2011,1.5701394227040348e-06
LV,2021,0.0021563248071802084
NL,2010,3.661845485054572e-05
NL,2015,0.0015343132582378658
NL,2017,0.005896719061488793
NL,2018,0.020288684840005868
NL,2019,0.01853009324697087
NL,2020,0.08596898430819953
NL,2021,0.04349620627748493
NO,2006,3.509390841696705e-05
NO,2011,2.6320431312725284e-05
NO,2021,0.03614672566947607
PL,2021,0.006447317738851398
PT,2005,0.00010164055316317145
PT,2012,0.000293063594953811
PT,2013,0.000984219356463377
PT,2016,0.0006166193558565735
PT,2017,0.00018464700491309483
PT,2018,0.00016940092193861909
PT,2019,0.0008470046096930954
PT,2020,0.0019481106022941194
PT,2021,0.020407997397005793
RO,2021,0.0023737793031516088
SE,2006,3.770726967930594e-05
SE,2011,2.8280452259479456e-05
SE,2021,0.03883848776968513
SK,2021,0.0010603656207329342
UK,2011,0.00269
UK,2012,0.00269
UK,2013,0.016900000000000002
UK,2014,0.00916
UK,2015,0.00078
UK,2016,0.046759999999999996
UK,2017,0.24645999999999998
UK,2018,0.28968
UK,2019,0.56065
UK,2020,0.39856847583643124
UK,2021,0.5926860799999999
