year,opex_specific_variable
2022,1.0
2023,0.999456330596631
2024,0.9989126611932612
2025,0.9983689917898916
2026,0.9982610039071211
2027,0.9981530160243501
2028,0.9980450281415797
2029,0.9979370402588089
2030,0.9978290523760385
2031,0.9984805318800146
2032,0.9991320113839914
2033,0.9997834908879677
2034,1.0004349703919444
2035,1.001086449895921
2036,1.0016243071874196
2037,1.002162164478918
2038,1.0027000217704167
2039,1.0032378790619145
2040,1.0037757363534134
2041,1.0030562431506962
2042,1.0023367499479792
2043,1.0016172567452621
2044,1.0008977635425451
2045,1.000178270339828
2046,0.9900568959385786
2047,0.9799355215373295
2048,0.9698141471360807
2049,0.9596927727348317
2050,0.9495713983335823
