node,year_construction,capacity_existing
AT,2004,0.5260746773477393
AT,2005,0.5260746773477393
AT,2006,0.5260746773477393
AT,2007,0.5260746773477393
AT,2008,0.5260746773477393
AT,2009,0.5260746773477393
AT,2010,0.5260746773477393
AT,2013,0.2541374822618933
AT,2014,0.031153293065487888
AT,2017,0.17405979317686135
BE,2004,0.7546305772482226
BE,2005,0.7546305772482226
BE,2006,0.7546305772482226
BE,2007,0.7546305772482226
BE,2008,2.948612630406361
BE,2009,0.7546305772482226
BE,2010,0.7546305772482226
BE,2011,0.5054050987145163
BE,2012,0.7744564621054273
BE,2013,0.20390060267007512
BE,2014,0.6054962411290901
BE,2015,0.6581466311258725
BE,2017,0.8607040163131913
BE,2020,1.4555712609753588
BG,2004,0.033495160808246376
BG,2005,0.033495160808246376
BG,2006,0.08724284155995185
BG,2007,0.033495160808246376
BG,2008,0.033495160808246376
BG,2009,0.033495160808246376
BG,2010,0.08194748152144682
BG,2011,0.16301788117386268
BG,2013,0.4544798339822712
BG,2015,0.16592095785942473
BG,2019,0.02113070270475404
CH,2004,0.7127856568586574
CH,2005,0.7127856568586574
CH,2006,0.7127856568586574
CH,2007,0.7127856568586574
CH,2008,0.7127856568586574
CH,2009,0.7127856568586574
CH,2010,0.7127856568586574
CH,2013,0.3443342932598728
CH,2014,0.0422100158345303
CH,2017,0.23583595514946504
CZ,2006,0.7388569113765676
CZ,2008,0.017723383477669788
CZ,2009,0.03074402703415175
CZ,2010,0.43821474727474496
CZ,2011,0.10861007970582133
CZ,2012,0.17501311336602937
CZ,2013,1.4353705853974899
CZ,2020,0.5354847994900055
DE,2004,2.5683133182277813
DE,2005,4.0276687321250595
DE,2006,4.331464942045552
DE,2007,2.5683133182277813
DE,2008,19.755998650845317
DE,2009,2.5683133182277813
DE,2010,2.5683133182277813
DE,2011,2.659737420951989
DE,2013,0.34910840484285105
DE,2014,2.7511494710431013
DE,2019,6.376835630038194
DE,2020,3.039157648972253
DE,2021,7.535366231029309
DK,2004,0.3323923081010221
DK,2005,0.3323923081010221
DK,2006,0.3323923081010221
DK,2007,0.3323923081010221
DK,2008,0.3323923081010221
DK,2009,0.3323923081010221
DK,2010,0.3323923081010221
DK,2011,0.20265884441432286
DK,2019,0.05895463839769581
EE,2005,0.008932427944039145
EE,2008,0.0064849677648513016
EE,2011,0.13384515172719197
EE,2014,0.03253215876277343
EE,2015,0.015115240754330572
EE,2017,0.008427762199019417
EE,2020,0.0463291157751452
EE,2021,0.1421432694603948
EL,2004,0.6131254593275133
EL,2005,0.6131254593275133
EL,2006,0.6131254593275133
EL,2007,0.6131254593275133
EL,2008,0.6131254593275133
EL,2009,0.6131254593275133
EL,2010,0.6131254593275133
EL,2011,0.2894607502622459
EL,2015,1.6069741281836358
EL,2016,1.521852429394693
EL,2018,0.004910469809762442
EL,2019,0.39524565310318177
EL,2020,1.4411009942542563
EL,2021,0.4346283550222164
ES,2004,1.4403053037971827
ES,2005,1.0250570542262458
ES,2006,1.0250570542262458
ES,2007,2.005366317057352
ES,2008,1.0250570542262458
ES,2009,1.0250570542262458
ES,2010,1.0250570542262458
ES,2011,0.27929213962809996
ES,2012,0.27753080889448395
ES,2013,1.4678416674118517
ES,2014,0.7526646482312364
ES,2015,0.7445683741812243
ES,2016,1.232650203299512
ES,2020,0.5857166451777837
FI,2004,0.2608643948060234
FI,2005,0.2608643948060234
FI,2006,0.2608643948060234
FI,2007,0.2608643948060234
FI,2008,0.2608643948060234
FI,2009,0.2608643948060234
FI,2010,0.2608643948060234
FI,2015,0.48748890152501123
FI,2019,0.18649848599367694
FI,2020,0.35133901945832924
FI,2021,0.10693764854039055
FR,2004,2.044295430656071
FR,2005,2.044295430656071
FR,2006,2.044295430656071
FR,2007,2.044295430656071
FR,2008,4.976079077804102
FR,2009,2.044295430656071
FR,2010,2.044295430656071
FR,2011,0.9228684272564591
FR,2014,4.093411275557792
FR,2017,0.6136395744692003
FR,2018,4.46739093962882
FR,2020,3.379692362859393
FR,2021,1.3490499335303925
HR,2004,0.03514480813173033
HR,2005,0.03514480813173033
HR,2006,0.03514480813173033
HR,2007,0.03514480813173033
HR,2008,0.03514480813173033
HR,2009,0.03514480813173033
HR,2010,0.03514480813173033
HR,2014,0.37021678296386423
HR,2017,0.11089046156855223
