year,opex_specific_fixed
2022,49.81066190544665
2023,49.56547129260569
2024,49.320280679764736
2025,49.07509006692378
2026,48.82989945408282
2027,48.58470884124186
2028,48.33951822840091
2029,48.094327615559955
2030,47.849137002719
2031,47.595640591020135
2032,47.342144179321274
2033,47.08864776762242
2034,46.83515135592356
2035,46.581654944224695
2036,46.32815853252583
2037,46.07466212082698
2038,45.82116570912812
2039,45.56766929742926
2040,45.3141728857304
2041,45.061238902495056
2042,44.80830491925972
2043,44.555370936024374
2044,44.30243695278904
2045,44.04950296955369
2046,43.796568986318356
2047,43.54363500308301
2048,43.290701019847674
2049,43.03776703661233
2050,42.78483305337699
