year,opex_specific_fixed
2022,64.8311798902459
2023,64.29817288669415
2024,63.7651658831424
2025,63.23215887959065
2026,62.6991518760389
2027,62.166144872487145
2028,61.63313786893539
2029,61.10013086538364
2030,60.56712386183189
2031,60.16736860916807
2032,59.767613356504256
2033,59.36785810384045
2034,58.96810285117663
2035,58.568347598512815
2036,58.00679551592472
2037,57.44524343333663
2038,56.88369135074854
2039,56.32213926816045
2040,55.760587185572355
2041,54.892001385812435
2042,54.023415586052515
2043,53.1548297862926
2044,52.28624398653268
2045,51.41765818677276
2046,49.92522015037741
2047,48.432782113982064
2048,46.940344077586715
2049,45.447906041191374
2050,43.955468004796025
